State (abr),State,County,Mandatory Testing,Ban on Importation of Whole Carcasses,Ban on Exportation of Whole Carcasses,Baiting Banned,"Restriction on Importation of Live Deer, Elk, and Moose","Restriction on Exportation of Live Deer, Elk, and Moose",,Links
AL,Alabama,Greene,0,1,0,License Required,1,0,,
AL,Alabama,Hale,0,1,0,License Required,1,0,,
AL,Alabama,Henry,0,1,0,License Required,1,0,,
AL,Alabama,Houston,0,1,0,License Required,1,0,,
AL,Alabama,Jackson,0,1,0,License Required,1,0,,
AL,Alabama,Jefferson,0,1,0,License Required,1,0,,
AL,Alabama,Lamar,0,1,0,License Required,1,0,,
AL,Alabama,Lauderdale,1,1,1,1,1,1,,
AL,Alabama,Lawrence,0,1,0,Licence Required,1,0,,
AL,Alabama,Lee,0,1,0,Licence Required,1,0,,
AL,Alabama,Limestone,0,1,0,Licence Required,1,0,,
AL,Alabama,Lowndes,0,1,0,Licence Required,1,0,,
AL,Alabama,Macon,0,1,0,Licence Required,1,0,,
AL,Alabama,Madison,0,1,0,Licence Required,1,0,,
AL,Alabama,Marengo,0,1,0,Licence Required,1,0,,
AL,Alabama,Marion,0,1,0,Licence Required,1,0,,
AL,Alabama,Marshall,0,1,0,Licence Required,1,0,,
AL,Alabama,Mobile,0,1,0,Licence Required,1,0,,
AL,Alabama,Monroe,0,1,0,Licence Required,1,0,,
AL,Alabama,Montgomery,0,1,0,Licence Required,1,0,,
AL,Alabama,Morgan,0,1,0,Licence Required,1,0,,
AL,Alabama,Perry,0,1,0,Licence Required,1,0,,
AL,Alabama,Pickens,0,1,0,Licence Required,1,0,,
AL,Alabama,Pike,0,1,0,Licence Required,1,0,,
AL,Alabama,Randolph,0,1,0,Licence Required,1,0,,
AL,Alabama,Russell,0,1,0,Licence Required,1,0,,
AL,Alabama,Shelby,0,1,0,Licence Required,1,0,,
AL,Alabama,St. Clair,0,1,0,Licence Required,1,0,,
AL,Alabama,Sumter,0,1,0,Licence Required,1,0,,
AL,Alabama,Talladega,0,1,0,Licence Required,1,0,,
AL,Alabama,Tallapoosa,0,1,0,Licence Required,1,0,,
AL,Alabama,Tuscaloosa,0,1,0,Licence Required,1,0,,
AL,Alabama,Walker,0,1,0,Licence Required,1,0,,
AL,Alabama,Washington,0,1,0,Licence Required,1,0,,
AL,Alabama,Wilcox,0,1,0,Licence Required,1,0,,
AL,Alabama,Winston,0,1,0,Licence Required,1,0,,
MN,Minnesota,Aitkin,1,1,1,1,1,0,,Chronic wasting disease management | Minnesota DNR (state.mn.us)
MN,Minnesota,Anoka,0,1,0,1,1,0,,MN DNR CWD plan FINAL July 2019 (state.mn.us)
MN,Minnesota,Becker,0,1,0,1,1,0,,
MN,Minnesota,Beltrami,1,1,1,1,1,0,,
MN,Minnesota,Benton,0,1,0,1,1,0,,
MN,Minnesota,Big Stone,0,1,0,1,1,0,,
MN,Minnesota,Blue Earth,0,1,0,1,1,0,,
MN,Minnesota,Brown,0,1,0,1,1,0,,
MN,Minnesota,Carlton,0,1,0,1,1,0,,
MN,Minnesota,Carver,0,1,0,1,1,0,,
MN,Minnesota,Cass,1,1,1,1,1,0,,
MN,Minnesota,Chippewa,0,1,0,1,1,0,,
MN,Minnesota,Chisago,0,1,0,1,1,0,,
MN,Minnesota,Clay,1,1,0,1,1,0,,
MN,Minnesota,Clearwater,1,1,0,1,1,0,,
MN,Minnesota,Cook,0,1,0,1,1,0,,
MN,Minnesota,Cottonwood,0,1,0,1,1,0,,
MN,Minnesota,Crow Wing,1,1,1,1,1,0,,
MN,Minnesota,Dakota,1,1,1,1,1,0,,
MN,Minnesota,Dodge,1,1,1,1,1,0,,
MN,Minnesota,Douglas,0,1,0,1,1,0,,
MN,Minnesota,Faribault,0,1,0,1,1,0,,
MN,Minnesota,Fillmore,1,1,1,1,1,0,,
MN,Minnesota,Freeborn,0,1,0,1,1,0,,
MN,Minnesota,Goodhue,1,1,1,1,1,0,,
MN,Minnesota,Grant,0,1,0,1,1,0,,
MN,Minnesota,Hennepin,0,1,0,1,1,0,,
MN,Minnesota,Houston,1,1,1,1,1,0,,
MN,Minnesota,Hubbard,1,1,1,1,1,0,,
MN,Minnesota,Isanti,0,1,0,1,1,0,,
MN,Minnesota,Itasca,1,1,1,1,1,0,,
MN,Minnesota,Jackson,0,1,0,1,1,0,,
MN,Minnesota,Kanabec,0,1,0,1,1,0,,
MN,Minnesota,KandiYesohi,0,1,0,1,1,0,,
MN,Minnesota,Kittson,1,1,0,1,1,0,,
MN,Minnesota,Koochiching,0,1,0,1,1,0,,
MN,Minnesota,Lac qui Parle,0,1,0,1,1,0,,
MN,Minnesota,Lake,0,1,0,1,1,0,,
MN,Minnesota,Lake of the Woods,0,1,0,1,1,0,,
MN,Minnesota,Le Sueur,0,1,0,1,1,0,,
MN,Minnesota,Lincoln,0,1,0,1,1,0,,
MN,Minnesota,LYeson,0,1,0,1,1,0,,
MN,Minnesota,Mahnomen,0,1,0,1,1,0,,
MN,Minnesota,Marshall,1,1,0,1,1,0,,
MN,Minnesota,Martin,0,1,0,1,1,0,,
MN,Minnesota,McLeod,0,1,0,1,1,0,,
MN,Minnesota,Meeker,0,1,0,1,1,0,,
MN,Minnesota,Mille Lacs,0,1,0,1,1,0,,
MN,Minnesota,Morrison,0,1,0,1,1,0,,
MN,Minnesota,Mower,1,1,1,1,1,0,,
MN,Minnesota,MurraYes,0,1,0,1,1,0,,
MN,Minnesota,Nicollet,0,1,0,1,1,0,,
MN,Minnesota,Nobles,0,1,0,1,1,0,,
MN,Minnesota,Norman,1,1,0,1,1,0,,
MN,Minnesota,Olmsted,1,1,1,1,1,0,,
MN,Minnesota,Otter Tail,0,1,0,1,1,0,,
MN,Minnesota,Pennington,1,1,0,1,1,0,,
MN,Minnesota,Pine,0,1,0,1,1,0,,
MN,Minnesota,Pipestone,0,1,0,1,1,0,,
MN,Minnesota,Polk,1,1,1,1,1,0,,
MN,Minnesota,Pope,0,1,0,1,1,0,,
MN,Minnesota,RamseYes,0,1,0,1,1,0,,
MN,Minnesota,Red Lake,0,1,0,1,1,0,,
MN,Minnesota,Redwood,0,1,0,1,1,0,,
MN,Minnesota,Renville,0,1,0,1,1,0,,
MN,Minnesota,Rice,1,1,1,1,1,0,,
MN,Minnesota,Rock,0,1,0,1,1,0,,
MN,Minnesota,Roseau,1,1,0,1,1,0,,
MN,Minnesota,Scott,1,1,1,1,1,0,,
MN,Minnesota,Sherburne,0,1,0,1,1,0,,
MN,Minnesota,SibleYes,0,1,0,1,1,0,,
MN,Minnesota,St. Louis,0,1,0,1,1,0,,
MN,Minnesota,Stearns,0,1,0,1,1,0,,
MN,Minnesota,Steele,1,1,0,1,1,0,,
MN,Minnesota,Stevens,0,1,0,1,1,0,,
MN,Minnesota,Swift,0,1,0,1,1,0,,
MN,Minnesota,Todd,0,1,0,1,1,0,,
MN,Minnesota,Traverse,0,1,0,1,1,0,,
MN,Minnesota,Wabasha,1,1,1,1,1,0,,
MN,Minnesota,Wadena,0,1,0,1,1,0,,
MN,Minnesota,Waseca,0,1,0,1,1,0,,
MN,Minnesota,Washington,1,1,1,1,1,0,,
MN,Minnesota,Watonwan,0,1,0,1,1,0,,
MN,Minnesota,Wilkin,0,1,0,1,1,0,,
MN,Minnesota,Winona,1,1,1,1,1,0,,
MN,Minnesota,Wright,0,1,0,1,1,0,,
MN,Minnesota,Yesellow Medicine,0,1,0,1,1,0,,
TX,Texas,Anderson,0,1,0,0,1,0,,Chronic Wasting Disease - Diseases - Wildlife - TPWD (texas.gov)
TX,Texas,Andrews,0,1,0,0,1,0,,Chronic Wasting Disease Management Plan - CWD - Diseases - Wildlife - TPWD (texas.gov)
TX,Texas,Angelina,0,1,0,0,1,0,,
TX,Texas,Aransas,0,1,0,0,1,0,,
TX,Texas,Archer,0,1,0,0,1,0,,
TX,Texas,Armstrong,0,1,0,0,1,0,,
TX,Texas,Atascosa,0,1,0,0,1,0,,
TX,Texas,Austin,0,1,0,0,1,0,,
TX,Texas,Bailey,0,1,0,0,1,0,,
TX,Texas,Bandera,0,1,0,0,1,0,,
TX,Texas,Bastrop,0,1,0,0,1,0,,
TX,Texas,Baylor,0,1,0,0,1,0,,
TX,Texas,Bee,0,1,0,0,1,0,,
TX,Texas,Bell,0,1,0,0,1,0,,
TX,Texas,Bexar,1,1,1,0,1,1,,
TX,Texas,Blanco,0,1,0,0,1,0,,
TX,Texas,Borden,0,1,0,0,1,0,,
TX,Texas,Bosque,0,1,0,0,1,0,,
TX,Texas,Bowie,0,1,0,0,1,0,,
TX,Texas,Brazoria,0,1,0,0,1,0,,
TX,Texas,Brazos,0,1,0,0,1,0,,
TX,Texas,Brewster,0,1,0,0,1,0,,
TX,Texas,Briscoe,0,1,0,0,1,0,,
TX,Texas,Brooks,1,1,1,0,1,1,,
TX,Texas,Brown,0,1,0,0,1,0,,
TX,Texas,Burleson,0,1,0,0,1,0,,
TX,Texas,Burnet,0,1,0,0,1,0,,
TX,Texas,Caldwell,0,1,0,0,1,0,,
TX,Texas,Calhoun,0,1,0,0,1,0,,
TX,Texas,Callahan,0,1,0,0,1,0,,
TX,Texas,Cameron,0,1,0,0,1,0,,
TX,Texas,Camp,0,1,0,0,1,0,,
TX,Texas,Carson,0,1,0,0,1,0,,
TX,Texas,Cass,0,1,0,0,1,0,,
TX,Texas,Castro,0,1,0,0,1,0,,
TX,Texas,Chambers,0,1,0,0,1,0,,
TX,Texas,Cherokee,0,1,0,0,1,0,,
TX,Texas,Childress,0,1,0,0,1,0,,
TX,Texas,Clay,0,1,0,0,1,0,,
TX,Texas,Cochran,0,1,0,0,1,0,,
TX,Texas,Coke,0,1,0,0,1,0,,
TX,Texas,Coleman,0,1,0,0,1,0,,
TX,Texas,Collin,0,1,0,0,1,0,,
TX,Texas,Collingsworth,0,1,0,0,1,0,,
TX,Texas,Colorado,0,1,0,0,1,0,,
TX,Texas,Comal,0,1,0,0,1,0,,
TX,Texas,Comanche,0,1,0,0,1,0,,
TX,Texas,Concho,0,1,0,0,1,0,,
TX,Texas,Cooke,0,1,0,0,1,0,,
TX,Texas,Coryell,0,1,0,0,1,0,,
TX,Texas,Cottle,0,1,0,0,1,0,,
TX,Texas,Crane,0,1,0,0,1,0,,
TX,Texas,Crockett,0,1,0,0,1,0,,
TX,Texas,Crosby,0,1,0,0,1,0,,
TX,Texas,Culberson,1,1,1,0,1,1,,
TX,Texas,Dallam,1,1,1,0,1,1,,
TX,Texas,Dallas,0,1,0,0,1,0,,
TX,Texas,Dawson,0,1,0,0,1,0,,
TX,Texas,Deaf Smith,0,1,0,0,1,0,,
TX,Texas,Delta,0,1,0,0,1,0,,
TX,Texas,Denton,0,1,0,0,1,0,,
TX,Texas,DeWitt,0,1,0,0,1,0,,
TX,Texas,Dickens,0,1,0,0,1,0,,
TX,Texas,Dimmit,0,1,0,0,1,0,,
TX,Texas,Donley,0,1,0,0,1,0,,
TX,Texas,Duval,1,1,1,0,1,1,,
TX,Texas,Eastland,0,1,0,0,1,0,,
TX,Texas,Ector,0,1,0,0,1,0,,
TX,Texas,Edwards,0,1,0,0,1,0,,
TX,Texas,El Paso,1,1,1,0,1,1,,
TX,Texas,Ellis,0,1,0,0,1,0,,
TX,Texas,Erath,0,1,0,0,1,0,,
TX,Texas,Falls,0,1,0,0,1,0,,
TX,Texas,Fannin,0,1,0,0,1,0,,
TX,Texas,Fayette,0,1,0,0,1,0,,
TX,Texas,Fisher,0,1,0,0,1,0,,
TX,Texas,Floyd,0,1,0,0,1,0,,
TX,Texas,Foard,0,1,0,0,1,0,,
TX,Texas,Fort Bend,0,1,0,0,1,0,,
TX,Texas,Franklin,0,1,0,0,1,0,,
TX,Texas,Freestone,0,1,0,0,1,0,,
TX,Texas,Frio,1,1,1,0,1,1,,
TX,Texas,Gaines,0,1,0,0,1,0,,
TX,Texas,Galveston,0,1,0,0,1,0,,
TX,Texas,Garza,0,1,0,0,1,0,,
TX,Texas,Gillespie,1,1,1,0,1,1,,
TX,Texas,Glasscock,0,1,0,0,1,0,,
TX,Texas,Goliad,0,1,0,0,1,0,,
TX,Texas,Gonzales,1,1,1,0,1,1,,
TX,Texas,Gray,0,1,0,0,1,0,,
TX,Texas,Grayson,0,1,0,0,1,0,,
TX,Texas,Gregg,0,1,0,0,1,0,,
TX,Texas,Grimes,0,1,0,0,1,0,,
TX,Texas,Guadalupe,0,1,0,0,1,0,,
TX,Texas,Hale,0,1,0,0,1,0,,
TX,Texas,Hall,0,1,0,0,1,0,,
TX,Texas,Hamilton,1,1,1,0,1,1,,
TX,Texas,Hansford,0,1,0,0,1,0,,
TX,Texas,Hardeman,0,1,0,0,1,0,,
TX,Texas,Hardin,0,1,0,0,1,0,,
TX,Texas,Harris,0,1,0,0,1,0,,
TX,Texas,Harrison,0,1,0,0,1,0,,
TX,Texas,Hartley,1,1,1,0,1,1,,
TX,Texas,Haskell,0,1,0,0,1,0,,
TX,Texas,Hays,0,1,0,0,1,0,,
TX,Texas,Hemphill,0,1,0,0,1,0,,
TX,Texas,Henderson,0,1,0,0,1,0,,
TX,Texas,Hidalgo,0,1,0,0,1,0,,
TX,Texas,Hill,0,1,0,0,1,0,,
TX,Texas,Hockley,0,1,0,0,1,0,,
TX,Texas,Hood,0,1,0,0,1,0,,
TX,Texas,Hopkins,0,1,0,0,1,0,,
TX,Texas,Houston,0,1,0,0,1,0,,
TX,Texas,Howard,0,1,0,0,1,0,,
TX,Texas,Hudspeth,0,1,0,0,1,0,,
TX,Texas,Hunt,1,1,1,0,1,1,,
TX,Texas,Hutchinson,0,1,0,0,1,0,,
TX,Texas,Irion,0,1,0,0,1,0,,
TX,Texas,Jack,0,1,0,0,1,0,,
TX,Texas,Jackson,0,1,0,0,1,0,,
TX,Texas,Jasper,0,1,0,0,1,0,,
TX,Texas,Jeff Davis,0,1,0,0,1,0,,
TX,Texas,Jefferson,0,1,0,0,1,0,,
TX,Texas,Jim Hogg,0,1,0,0,1,0,,
TX,Texas,Jim Wells,0,1,0,0,1,0,,
TX,Texas,Johnson,0,1,0,0,1,0,,
TX,Texas,Jones,0,1,0,0,1,0,,
TX,Texas,Karnes,0,1,0,0,1,0,,
TX,Texas,Kaufman,1,1,1,0,1,1,,
TX,Texas,Kendall,0,1,0,0,1,0,,
TX,Texas,Kenedy,0,1,0,0,1,0,,
TX,Texas,Kent,0,1,0,0,1,0,,
TX,Texas,Kerr,0,1,0,0,1,0,,
TX,Texas,Kimble,1,1,1,0,1,1,,
TX,Texas,King,0,1,0,0,1,0,,
TX,Texas,Kinney,0,1,0,0,1,0,,
TX,Texas,Kleberg,0,1,0,0,1,0,,
TX,Texas,Knox,0,1,0,0,1,0,,
TX,Texas,La Salle,0,1,0,0,1,0,,
TX,Texas,Lamar,0,1,0,0,1,0,,
TX,Texas,Lamb,0,1,0,0,1,0,,
TX,Texas,Lampasas,0,1,0,0,1,0,,
TX,Texas,Lavaca,0,1,0,0,1,0,,
TX,Texas,Lee,0,1,0,0,1,0,,
TX,Texas,Leon,0,1,0,0,1,0,,
TX,Texas,Liberty,0,1,0,0,1,0,,
TX,Texas,Limestone,1,1,1,0,1,1,,
TX,Texas,Lipscomb,0,1,0,0,1,0,,
TX,Texas,Live Oak,0,1,0,0,1,0,,
TX,Texas,Llano,0,1,0,0,1,0,,
TX,Texas,Loving,0,1,0,0,1,0,,
TX,Texas,Lubbock,1,1,1,0,1,1,,
TX,Texas,Lynn,0,1,0,0,1,0,,
TX,Texas,Madison,0,1,0,0,1,0,,
TX,Texas,Marion,0,1,0,0,1,0,,
TX,Texas,Martin,0,1,0,0,1,0,,
TX,Texas,Mason,0,1,0,0,1,0,,
TX,Texas,Matagorda,0,1,0,0,1,0,,
TX,Texas,Maverick,0,1,0,0,1,0,,
TX,Texas,McCulloch,0,1,0,0,1,0,,
TX,Texas,McLennan,0,1,0,0,1,0,,
TX,Texas,McMullen,0,1,0,0,1,0,,
TX,Texas,Medina,1,1,1,0,1,1,,
TX,Texas,Menard,0,1,0,0,1,0,,
TX,Texas,Midland,0,1,0,0,1,0,,
TX,Texas,Milam,0,1,0,0,1,0,,
TX,Texas,Mills,0,1,0,0,1,0,,
TX,Texas,Mitchell,0,1,0,0,1,0,,
TX,Texas,Montague,0,1,0,0,1,0,,
TX,Texas,Montgomery,0,1,0,0,1,0,,
TX,Texas,Moore,1,1,1,0,1,1,,
TX,Texas,Morris,0,1,0,0,1,0,,
TX,Texas,Motley,0,1,0,0,1,0,,
TX,Texas,Nacogdoches,0,1,0,0,1,0,,
TX,Texas,Navarro,0,1,0,0,1,0,,
TX,Texas,Newton,0,1,0,0,1,0,,
TX,Texas,Nolan,0,1,0,0,1,0,,
TX,Texas,Nueces,0,1,0,0,1,0,,
TX,Texas,Ochiltree,0,1,0,0,1,0,,
TX,Texas,Oldham,0,1,0,0,1,0,,
TX,Texas,Orange,0,1,0,0,1,0,,
TX,Texas,Palo Pinto,0,1,0,0,1,0,,
TX,Texas,Panola,0,1,0,0,1,0,,
TX,Texas,Parker,0,1,0,0,1,0,,
TX,Texas,Parmer,0,1,0,0,1,0,,
TX,Texas,Pecos,0,1,0,0,1,0,,
TX,Texas,Polk,0,1,0,0,1,0,,
TX,Texas,Potter,0,1,0,0,1,0,,
TX,Texas,Presidio,0,1,0,0,1,0,,
TX,Texas,Rains,0,1,0,0,1,0,,
TX,Texas,Randall,0,1,0,0,1,0,,
TX,Texas,Reagan,0,1,0,0,1,0,,
TX,Texas,Real,0,1,0,0,1,0,,
TX,Texas,Red River,0,1,0,0,1,0,,
TX,Texas,Reeves,1,1,1,0,1,1,,
TX,Texas,Refugio,0,1,0,0,1,0,,
TX,Texas,Roberts,0,1,0,0,1,0,,
TX,Texas,Robertson,0,1,0,0,1,0,,
TX,Texas,Rockwall,0,1,0,0,1,0,,
TX,Texas,Runnels,0,1,0,0,1,0,,
TX,Texas,Rusk,0,1,0,0,1,0,,
TX,Texas,Sabine,0,1,0,0,1,0,,
TX,Texas,San Augustine,0,1,0,0,1,0,,
TX,Texas,San Jacinto,0,1,0,0,1,0,,
TX,Texas,San Patricio,0,1,0,0,1,0,,
TX,Texas,San Saba,0,1,0,0,1,0,,
TX,Texas,Schleicher,0,1,0,0,1,0,,
TX,Texas,Scurry,0,1,0,0,1,0,,
TX,Texas,Shackelford,0,1,0,0,1,0,,
TX,Texas,Shelby,0,1,0,0,1,0,,
TX,Texas,Sherman,0,1,0,0,1,0,,
TX,Texas,Smith,0,1,0,0,1,0,,
TX,Texas,Somervell,0,1,0,0,1,0,,
TX,Texas,Starr,0,1,0,0,1,0,,
TX,Texas,Stephens,0,1,0,0,1,0,,
TX,Texas,Sterling,0,1,0,0,1,0,,
TX,Texas,Stonewall,0,1,0,0,1,0,,
TX,Texas,Sutton,1,1,1,0,1,1,,
TX,Texas,Swisher,0,1,0,0,1,0,,
TX,Texas,Tarrant,0,1,0,0,1,0,,
TX,Texas,Taylor,0,1,0,0,1,0,,
TX,Texas,Terrell,0,1,0,0,1,0,,
TX,Texas,Terry,0,1,0,0,1,0,,
TX,Texas,Throckmorton,0,1,0,0,1,0,,
TX,Texas,Titus,0,1,0,0,1,0,,
TX,Texas,Tom Green,0,1,0,0,1,0,,
TX,Texas,Travis,0,1,0,0,1,0,,
TX,Texas,Trinity,0,1,0,0,1,0,,
TX,Texas,Tyler,0,1,0,0,1,0,,
TX,Texas,Upshur,0,1,0,0,1,0,,
TX,Texas,Upton,0,1,0,0,1,0,,
TX,Texas,Uvalde,1,1,1,0,1,1,,
TX,Texas,Val Verde,1,1,1,0,1,1,,
TX,Texas,Van Zandt,0,1,0,0,1,0,,
TX,Texas,Victoria,0,1,0,0,1,0,,
TX,Texas,Walker,0,1,0,0,1,0,,
TX,Texas,Waller,0,1,0,0,1,0,,
TX,Texas,Ward,0,1,0,0,1,0,,
TX,Texas,Washington,1,1,1,0,1,1,,
TX,Texas,Webb,0,1,0,0,1,0,,
TX,Texas,Wharton,0,1,0,0,1,0,,
TX,Texas,Wheeler,0,1,0,0,1,0,,
TX,Texas,Wichita,0,1,0,0,1,0,,
TX,Texas,Wilbarger,0,1,0,0,1,0,,
TX,Texas,Willacy,0,1,0,0,1,0,,
TX,Texas,Williamson,0,1,0,0,1,0,,
TX,Texas,Wilson,0,1,0,0,1,0,,
TX,Texas,Winkler,0,1,0,0,1,0,,
TX,Texas,Wise,0,1,0,0,1,0,,
TX,Texas,Wood,0,1,0,0,1,0,,
TX,Texas,Yoakum,0,1,0,0,1,0,,
TX,Texas,Young,0,1,0,0,1,0,,
TX,Texas,Zapata,0,1,0,0,1,0,,
TX,Texas,Zavala,1,1,1,0,1,1,,
